split,domain,category,source,record_id,template_id,flags,prompt,response
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-3036,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 147 or 66?,147 is larger than 66.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-62544,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,synthetic_template_source,Multiply 60 by 49.,60 times 49 equals 2940.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-3252,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 156 or 198?,198 is larger than 156.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-37194,d60f1212956c58da4c9e917b6e1a7c5bf685852447dcd5eb218e2c0af508fdf2,synthetic_template_source,Subtract 72 from 84.,84 minus 72 equals 12.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-2014,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 96 greater than 33?,"Yes, 96 is greater than 33."
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-54162,ffe005dd8a129533418c2b40c07e100802351bfa55e9f80c614616cf82f7b539,synthetic_template_source,What is 46 times 82?,46 times 82 equals 3772.
train,code_debugging,coding,nueronce-synthetic-template-v1,code-eval-394,9c2a43ee54c12399b0a7bb1d5a7ad97d00cde054398d74308ba5a29158cbcd47,synthetic_template_source,What does the following code print? print(8 * 2),It prints 16.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-347,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 12 or 66?",66 is bigger.
train,conversation,instruction_following,nueronce-synthetic-template-v1,instr-rev-78,b9a3e336c4ed0102cd54d09b18cbd5ae6f7c9c791d4a9d12f66417021a7240f4,synthetic_template_source,Reverse this word: meadow,wodaem.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-4368,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source|resplit_from_original_source,Classify 868 as even or odd.,868 is even.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-3741,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 183 or 22?,183 is larger than 22.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-3282,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 159 or 88?,159 is larger than 88.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-6108,b9d16a65d040ae015547826f9e3106cbfbbecf5e71ef03940e6d37f6da89e5f9,synthetic_template_source,What is 210 plus 72?,210 plus 72 equals 282.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-13431,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 2931 a prime number?,2931 is not a prime number.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-2166,b9d16a65d040ae015547826f9e3106cbfbbecf5e71ef03940e6d37f6da89e5f9,synthetic_template_source,What is 74 plus 80?,74 plus 80 equals 154.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-5919,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 2419 as even or odd.,2419 is odd.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-21708,c860421afc24628a8c815ac34a4fdbf9108f80078f260f9372e5850a5f08b78e,synthetic_template_source,What do you get if you add 58 to 64?,58 plus 64 equals 122.
train,evidence_uncertainty,uncertainty,nueronce-synthetic-template-v1,uncertain-49,f127038adc8c3e6aa5f2d159eb42466fabd629b2ebab3ed889e180553182f1a6,synthetic_template_source,What time is it in Manila?,I do not have access to the current time in Manila.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-11857,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 1357 a prime number?,1357 is not a prime number.
train,conversation,facts,nueronce-synthetic-template-v1,continent-101,551b6bf30ec4f674d6b91d3d6cd7e31afbce4b08591848bac882a4954a66d4c5,synthetic_template_source,Which continent is Sweden located on?,Sweden is in Europe.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-89214,e986634e5f3d55293a5e1af056a8e29e471b190ec5aa193c66b1d89ab1ce71fa,synthetic_template_source,Calculate 174 / 6.,174 divided by 6 equals 29.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-5908,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 2408 as even or odd.,2408 is even.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-10976,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 476 a prime number?,476 is not a prime number.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-12747,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 2247 a prime number?,2247 is not a prime number.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-61146,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,synthetic_template_source,Multiply 44 by 11.,44 times 11 equals 484.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-2189,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 105 or 33?",105 is bigger.
train,mathematics,instruction_following,nueronce-synthetic-template-v1,instr-table-1038,c347c4bd73566d56a5206fcb32a41b5b4baf133e9f1aee3a8369908f698ff20b,synthetic_template_source,List the first five multiples of 7.,"7x1=7, 7x2=14, 7x3=21, 7x4=28, 7x5=35."
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-4673,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 1173 as even or odd.,1173 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-891,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 39 or 88?,88 is larger than 39.
train,causal_temporal,logic,nueronce-synthetic-template-v1,syllogism-7,43ad939fae60944724db049faf5eaac7c2f0c07584d51d6527970218a8cd6087,malformed_plural_agreement|synthetic_template_source,All triangles are shapes. This triangle is an example of triangle. Is this triangle a shape?,"Yes, since all triangles are shapes, X is a shapes."
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-213,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 6 or 11?,11 is larger than 6.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-1769,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 84 or 22?",84 is bigger.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-1374,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 63 or 99?,99 is larger than 63.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-13153,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 2653 a prime number?,2653 is not a prime number.
train,conversation,instruction_following,nueronce-synthetic-template-v1,instr-rev-918,96cc6229c07b79886b4ff583ba937f476ab7cde98ef91f850cd6b0e8f9107027,synthetic_template_source,Reverse this word: pilot,tolip.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-1453,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 66 greater than 176?,"No, 66 is not greater than 176."
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-1454,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 66 or 187?",187 is bigger.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-2871,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 138 or 121?,138 is larger than 121.
train,evidence_uncertainty,pa_abstain_conflict_conflict,nueronce-prompt-aligned-v1,pa-04806,7a7c186402c7de84ec40a357085ce5af6bd567bc089849a48583d593fee03a83,resplit_from_original_source,"Is Permit R valid on Sunday?

Trusted evidence:
[docA] Permit R is valid on Sunday for case 161.
[docB] Permit R is not valid on Sunday for case 161.

Response requirements:
State source conflict.","The available sources conflict, so I cannot state confidently whether Permit R is valid on Sunday for case 161."
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-88056,83ce5b4d6f48edd856ca7d6eab1657a38129bc08c079bccbcd3886fc9fff2e42,synthetic_template_source,Divide 2989 by 49.,2989 divided by 49 equals 61.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-66066,989066dfbcf3fbdf8f422b03f4cf0de60abfb1e95b928060af461c5c142f47df,synthetic_template_source,Calculate 17 * 1.,17 times 1 equals 17.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-2596,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source|resplit_from_original_source,Is 123 greater than 198?,"No, 123 is not greater than 198."
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-49668,9ec0ea74417149826b4e2908fd549de1dcedf893338d0cc6b05882365c3f008f,synthetic_template_source,What do you get if you take 0 away from 212?,212 minus 0 equals 212.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-65514,989066dfbcf3fbdf8f422b03f4cf0de60abfb1e95b928060af461c5c142f47df,synthetic_template_source,Calculate 10 * 44.,10 times 44 equals 440.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-12259,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 1759 a prime number?,1759 is a prime number.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-47064,9ec0ea74417149826b4e2908fd549de1dcedf893338d0cc6b05882365c3f008f,synthetic_template_source,What do you get if you take 8 away from 62?,62 minus 8 equals 54.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-11907,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 1407 a prime number?,1407 is not a prime number.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-7968,aa612651fca51858ba8d0ba0cc9f1828efc5a05940a9eed6d19181398cb439aa,synthetic_template_source,Add 44 and 88.,44 plus 88 equals 132.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-89808,e986634e5f3d55293a5e1af056a8e29e471b190ec5aa193c66b1d89ab1ce71fa,synthetic_template_source,Calculate 364 / 13.,364 divided by 13 equals 28.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-3562,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 174 greater than 22?,"Yes, 174 is greater than 22."
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-7327,b2aaeb6f64234e31075ed9b25f5032ab9cda52b9cfdb9aaf2b67d8872bc95ec7,synthetic_template_source,Tell me if 327 is even or odd.,327 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-709,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 30 greater than 66?,"No, 30 is not greater than 66."
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-5662,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 2162 as even or odd.,2162 is even.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-89760,e986634e5f3d55293a5e1af056a8e29e471b190ec5aa193c66b1d89ab1ce71fa,synthetic_template_source,Calculate 780 / 12.,780 divided by 12 equals 65.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-4017,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 195 or 154?,195 is larger than 154.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-1710,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 81 or 22?,81 is larger than 22.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-2641,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 126 greater than 143?,"No, 126 is not greater than 143."
train,code_debugging,coding,nueronce-synthetic-template-v1,code-eval-238,964fd85bfb6853a5a2d320406ace37766162b0856b017d35eef645bd76b7a2c7,synthetic_template_source|resplit_from_original_source,What does the following code print? print(16 - 1),It prints 15.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-2354,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source|resplit_from_original_source,"Which is bigger, 111 or 198?",198 is bigger.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-312,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 9 or 154?,154 is larger than 9.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-1645,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 78 greater than 0?,"Yes, 78 is greater than 0."
train,conversation,facts,nueronce-synthetic-template-v1,capital-193,41883f857c9874337c912582eb2d0d76b0cf6abf0968dad6fd854718062a8b94,synthetic_template_source,Which city is the capital of Nigeria?,The capital of Nigeria is Abuja.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-8615,b2aaeb6f64234e31075ed9b25f5032ab9cda52b9cfdb9aaf2b67d8872bc95ec7,synthetic_template_source,Tell me if 1615 is even or odd.,1615 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-2165,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 102 or 165?",165 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-83712,58dbf256aca097195ceb15e0d70a01a68edb26ca6d191a134548c7b7b066e8bb,synthetic_template_source,What is 2860 divided by 55?,2860 divided by 55 equals 52.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-1325,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 60 or 143?",143 is bigger.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-5436,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 1936 as even or odd.,1936 is even.
train,code_debugging,coding,nueronce-synthetic-template-v1,code-eval-48,b1ffe2544092a0c744a8761046df94702bf0932012a085c78c5e4a9521e8c730,synthetic_template_source,What does the following code print? print(4 + 4),It prints 8.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-2756,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 132 or 143?",143 is bigger.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-3555,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source|resplit_from_original_source,Which number is larger: 174 or 0?,174 is larger than 0.
train,conversation,facts,nueronce-synthetic-template-v1,continent-376,d9a8a963783661a2d61992ca9fcb8047a7f047b5523f729076f91750252a4bb2,synthetic_template_source,What continent is Jamaica in?,Jamaica is in North America.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-3729,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 229 as even or odd.,229 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-516,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 21 or 22?,22 is larger than 21.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-5299,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 1799 as even or odd.,1799 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-1707,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 81 or 11?,81 is larger than 11.
train,conversation,procedures,nueronce-synthetic-template-v1,proc-25,752abcf1ced854292009fa3c600cb7de48493427acbbe932901d72e4acb331c6,synthetic_template_source|resplit_from_original_source,What are the steps to set up a tent?,1. Choose a flat spot. 2. Lay out the tent fabric. 3. Assemble the poles. 4. Insert the poles into the tent. 5. Stake down the corners.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-35796,c55a61c69df8721e33631b2af276aa80c903d9042b751a1885c2036e7c5cd693,synthetic_template_source,What is 194 minus 180?,194 minus 180 equals 14.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-11583,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 1083 a prime number?,1083 is not a prime number.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-215,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 6 or 22?",22 is bigger.
