work_id,title,author,publication_year,subject,work_type,collection_code,rights_code,priority
work_0064,Woman in the Nineteenth Century,Margaret Fuller,1845,psychology_and_social_science,book,PD_SCAN,PD_EDITION_CHECK,high
work_0065,On the Origin of Species,Charles Darwin,1859,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0066,The Voyage of the Beagle,Charles Darwin,1839,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0067,The Variation of Animals and Plants under Domestication,Charles Darwin,1868,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0068,The Power of Movement in Plants,Charles Darwin and Francis Darwin,1880,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0069,The Chemical History of a Candle,Michael Faraday,1861,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0070,Experimental Researches in Electricity,Michael Faraday,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0071,A Treatise on Electricity and Magnetism,James Clerk Maxwell,1873,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0072,Matter and Motion,James Clerk Maxwell,1876,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0073,Opticks,Isaac Newton,1704,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0074,The Mathematical Principles of Natural Philosophy,Isaac Newton,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0075,Dialogue Concerning the Two Chief World Systems,Galileo Galilei,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0076,The Sidereal Messenger,Galileo Galilei,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0077,Relativity: The Special and General Theory,Albert Einstein,1916,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0078,The Theory of Heat Radiation,Max Planck,1906,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0079,Atomic Theory and the Description of Nature,Niels Bohr,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0080,The Evolution of Physics,Albert Einstein and Leopold Infeld,1938,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0081,The New Astronomy,Samuel Pierpont Langley,1888,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0082,Popular Astronomy,Camille Flammarion,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0083,The Story of the Heavens,Robert Stawell Ball,1885,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0084,The Moon,Thomas Gwyn Elger,1895,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0085,Principles of Geology,Charles Lyell,1830,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0086,The Story of the Rocks,Joel Dorman Steele,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0087,The Ocean World,Louis Figuier,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0088,The Sea Around Us public-domain predecessor texts,Various,,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0089,The Natural History of Selborne,Gilbert White,1789,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0090,Micrographia,Robert Hooke,1665,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0091,The Senses and the Intellect,Alexander Bain,1855,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0092,The Conservation of Energy,Balfour Stewart,1873,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0093,Science and Education,Thomas Henry Huxley,1893,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0094,Man's Place in Nature,Thomas Henry Huxley,1863,science_and_natural_history,book,PD_SCAN,PD_EDITION_CHECK,high
work_0095,The Elements,Euclid,,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0096,A Course of Pure Mathematics,G. H. Hardy,1908,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0097,An Introduction to Mathematics,Alfred North Whitehead,1911,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0098,Introduction to Mathematical Philosophy,Bertrand Russell,1919,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0099,Calculus Made Easy,Silvanus P. Thompson,1910,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
work_0100,Elements of Algebra,Leonhard Euler,1765,mathematics,book,PD_SCAN,PD_EDITION_CHECK,high
